Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Panthers,1689,1691.66,1694.3,1696.2,1700.23,1701.99,1703.52,1706.05,1708.16,1698.92,1706.44,1711.64,1713.33,1714.26,1716.69,1718.81,1722.05,1722.05,1723.89,1726.26,1718.19,1722.02,1714.85,1720.09,1721.34,1712.24
Storm,1733,1735.08,1738.51,1728.88,1729.81,1733.42,1735.48,1736.83,1739.04,1740.4,1732.88,1723.2,1725.39,1725.39,1730.16,1731.82,1723.04,1714.45,1704.85,1698.12,1700.4,1701.51,1708.68,1711.62,1703.2,1695.73
Roosters,1625,1615.46,1619.06,1613.92,1617.4,1620.97,1623.35,1614.78,1605.33,1607.46,1611.78,1606.58,1611.7,1605.03,1600.26,1594.28,1591.04,1591.04,1593.91,1597.81,1603.22,1606.26,1609.43,1611.35,1619.77,1624.95
Rabbitohs,1633,1624.32,1620.89,1626.03,1622.0,1624.22,1625.8,1616.98,1620.67,1611.04,1614.79,1606.49,1608.73,1608.73,1611.82,1603.59,1608.03,1611.83,1614.43,1621.16,1614.36,1616.49,1622.47,1617.23,1620.27,1615.09
Eels,1546,1548.92,1542.71,1552.34,1555.42,1559.65,1550.33,1555.18,1546.22,1555.46,1551.14,1555.72,1562.13,1562.13,1553.22,1559.2,1554.76,1558.68,1561.53,1553.15,1561.22,1567.16,1561.18,1563.31,1568.4,1575.87
Sharks,1493,1488.62,1494.83,1500.39,1504.73,1508.17,1506.11,1511.69,1504.92,1508.87,1502.16,1507.09,1501.97,1501.97,1507.16,1510.27,1514.32,1522.91,1528.79,1526.42,1533.22,1536.83,1540.91,1546.97,1549.22,1553.5
Raiders,1541,1545.38,1537.67,1540.73,1535.13,1531.52,1522.69,1520.16,1513.32,1516.04,1522.75,1531.05,1524.64,1531.31,1524.81,1528.41,1521.65,1521.65,1531.25,1534.42,1538.26,1534.43,1537.97,1542.6,1546.91,1550.66
Cowboys,1403,1395.27,1402.98,1410.3,1406.82,1401.9,1410.73,1415.63,1424.59,1429.81,1436.14,1445.82,1444.13,1449.89,1454.77,1462.62,1467.73,1467.73,1461.85,1465.63,1472.05,1476.82,1473.65,1477.6,1474.56,1483.66
Sea Eagles,1519,1516.34,1512.74,1515.49,1521.09,1526.62,1529.8,1524.22,1520.53,1523.88,1515.63,1511.05,1508.86,1512.46,1517.3,1509.45,1518.23,1518.23,1521.88,1515.21,1509.8,1503.86,1496.09,1490.03,1485.72,1478.05
Broncos,1418,1426.68,1432.29,1424.97,1419.65,1416.08,1414.55,1418.56,1425.33,1434.96,1443.21,1449.78,1453.91,1453.91,1460.41,1458.75,1453.64,1458.63,1463.86,1472.24,1463.81,1460.77,1465.16,1462.22,1457.13,1451.63
Dragons,1417,1423.91,1421.27,1415.71,1412.63,1410.41,1416.09,1424.66,1429.57,1428.21,1422.3,1427.47,1432.73,1432.73,1427.85,1436.08,1442.84,1437.85,1434.98,1441.65,1435.23,1431.62,1428.08,1432.11,1437.82,1443.32
Knights,1438,1447.54,1452.1,1450.2,1445.86,1440.33,1434.65,1429.8,1427.59,1422.37,1427.88,1421.31,1428.06,1428.06,1425.63,1422.03,1426.35,1422.55,1418.9,1415.0,1407.01,1413.37,1408.98,1404.35,1398.31,1394.03
Warriors,1422,1415.09,1409.56,1416.33,1421.65,1426.57,1424.19,1422.84,1429.68,1425.73,1421.98,1416.81,1410.06,1406.46,1401.27,1399.15,1404.09,1404.09,1401.24,1398.07,1395.79,1393.66,1398.06,1394.11,1392.86,1385.48
Titans,1397,1394.08,1399.61,1396.55,1401.77,1397.54,1394.36,1389.46,1387.35,1385.22,1391.13,1386.2,1382.07,1376.31,1373.22,1370.11,1365.79,1365.79,1360.56,1355.01,1351.17,1350.06,1357.83,1353.8,1359.84,1367.22
Wests Tigers,1413,1410.92,1406.36,1399.59,1394.37,1390.93,1400.25,1409.07,1404.16,1400.81,1394.48,1398.76,1396.52,1396.52,1391.68,1385.6,1380.66,1376.74,1374.9,1371.12,1379.55,1373.19,1369.11,1367.19,1361.48,1357.73
Bulldogs,1348,1355.73,1350.12,1347.37,1346.44,1344.68,1343.1,1339.09,1348.54,1345.82,1340.31,1336.03,1330.77,1329.84,1338.75,1344.83,1340.78,1340.78,1338.18,1343.73,1351.72,1346.95,1342.55,1340.42,1338.17,1345.84
