Team,0,1,2,3,4,5,6,7,8,9,10
Panthers,1712.0,1707.74,1711.65,1711.65,1709.86,1713.79,1715.89,1712.0,1711.35,1700.36,1702.64
Storm,1691.41,1696.25,1685.3,1675.33,1676.63,1682.55,1686.82,1678.41,1680.04,1680.04,1672.4
Rabbitohs,1624.5,1629.94,1626.03,1626.83,1624.02,1618.1,1620.81,1625.77,1626.42,1630.84,1638.48
Roosters,1629.94,1622.59,1624.64,1623.84,1623.84,1627.95,1623.68,1617.11,1613.58,1616.97,1621.03
Sharks,1543.69,1538.25,1545.62,1540.34,1545.32,1542.3,1542.3,1548.87,1552.43,1556.07,1562.03
Eels,1575.4,1570.56,1563.19,1556.8,1558.59,1554.48,1557.98,1560.25,1552.07,1555.01,1552.82
Raiders,1545.41,1545.14,1539.36,1544.64,1536.85,1532.92,1538.79,1542.3,1542.3,1540.84,1544.5
Sea Eagles,1489.3,1492.21,1492.21,1498.6,1501.41,1492.94,1490.84,1499.25,1503.54,1494.59,1501.17
Dolphins,1502.2,1509.55,1515.33,1520.09,1512.37,1505.74,1511.96,1507.0,1503.97,1505.43,1499.47
Broncos,1451.38,1455.64,1461.26,1466.03,1473.75,1477.08,1471.21,1476.25,1484.43,1480.01,1473.43
Cowboys,1481.42,1481.69,1476.07,1467.93,1471.55,1470.38,1464.16,1457.86,1456.13,1452.49,1448.43
Dragons,1433.3,1433.3,1437.35,1432.58,1427.6,1434.23,1433.89,1430.38,1433.91,1431.69,1431.21
Warriors,1391.22,1396.53,1394.48,1402.62,1400.98,1404.0,1398.65,1404.95,1403.32,1399.93,1397.65
Titans,1357.18,1364.22,1360.17,1370.14,1366.52,1366.52,1366.86,1361.82,1364.85,1373.8,1375.99
Wests Tigers,1369.86,1362.82,1362.52,1357.1,1355.8,1352.47,1348.97,1348.97,1344.68,1355.67,1356.15
Bulldogs,1339.76,1336.85,1347.8,1353.22,1354.86,1356.03,1353.32,1351.05,1347.49,1349.71,1346.05
Knights,1399.23,1393.92,1394.22,1389.46,1397.25,1393.72,1399.07,1402.96,1404.69,1401.75,1401.75
